[2026-05-15 12:58:19] [INFO] ================================================================================
[2026-05-15 12:58:19] [INFO] STEP step_002_secondary_spectra STARTED
[2026-05-15 12:58:19] [INFO] Description: Secondary spectrum computation S(τ, f_D)
[2026-05-15 12:58:19] [INFO] Physics: 2D Fourier transform of covariance C(Δt, Δν) = ⟨δI δI⟩
[2026-05-15 12:58:19] [INFO] Method: Vectorized FFT with conjugate symmetry optimization
[2026-05-15 12:58:19] [INFO] ================================================================================
[2026-05-15 12:58:19] [INFO]       Auto-selected 8 FFT worker processes (TEP_WORKERS / TEP_STEP002_MAX_WORKERS override)
[2026-05-15 12:58:19] [INFO] ═══ ======================================================================
[2026-05-15 12:58:19] [INFO] ═══ STEP 002: Secondary Spectrum Generation & Arc Detection
[2026-05-15 12:58:19] [INFO] ═══ ======================================================================
[2026-05-15 12:58:19] [INFO]       M4 Pro Optimized Vectorized FFT Parallel: 8 workers
[2026-05-15 12:58:19] [INFO]       Min SNR threshold: 1.5, Sub-bands: 1
[2026-05-15 12:58:19] [INFO]       Processing 10201 J0437 epochs...
[2026-05-15 12:58:21] [INFO]       OK   a051002_205103.rf.pcm: sb0:42al
[2026-05-15 12:58:21] [INFO]       OK   a051003_152153.rf.pcm: sb0:67al
[2026-05-15 12:58:21] [INFO]       OK   a051004_192833.rf.pcm: sb0:103al
[2026-05-15 12:58:21] [INFO]       OK   a051111_131703.rf.pcm: sb0:73al
[2026-05-15 12:58:21] [INFO]       OK   a051111_145053.rf.pcm: sb0:90al
[2026-05-15 12:58:21] [INFO]       OK   a051108_172021.rf.pcm: sb0:23al
[2026-05-15 12:58:21] [INFO]       OK   a051111_155833.rf.pcm: sb0:98al
[2026-05-15 12:58:21] [INFO]       OK   a051111_170603.rf.pcm: sb0:84al
[2026-05-15 12:58:21] [INFO]       OK   a051016_175627.rf.pcm: sb0:77al
[2026-05-15 12:58:21] [INFO]       OK   a051111_200822.rf.pcm: sb0:21al
[2026-05-15 12:58:21] [INFO]       OK   a051017_145433.rf.pcm: sb0:58al
[2026-05-15 12:58:21] [INFO]       OK   a051016_211208.rf.pcm: sb0:170al
[2026-05-15 12:58:21] [INFO]       OK   a051111_181353.rf.pcm: sb0:42al
[2026-05-15 12:58:21] [INFO]       OK   a051111_190103.rf.pcm: sb0:5al
[2026-05-15 12:58:21] [INFO]       OK   a051112_134412.rf.pcm: sb0:76al
[2026-05-15 12:58:21] [INFO]       OK   a051113_125023.rf.pcm: sb0:81al
[2026-05-15 12:58:21] [INFO]       OK   a051113_162542.rf.pcm: sb0:86al
[2026-05-15 12:58:21] [INFO]       OK   a051223_082253.rf.pcm: sb0:93al
[2026-05-15 12:58:21] [INFO]       OK   a051223_093018.rf.pcm: sb0:96al
[2026-05-15 12:58:21] [INFO]       OK   a051223_103805.rf.pcm: sb0:94al
[2026-05-15 12:58:21] [INFO]       OK   a051227_104031.rf.pcm: sb0:61al
[2026-05-15 12:58:21] [INFO]       OK   a051227_085842.rf.pcm: sb0:108al
[2026-05-15 12:58:21] [INFO]       OK   a051220_130413.rf.pcm: sb0:231al
[2026-05-15 12:58:21] [INFO]       OK   a051129_143912.rf.pcm: sb0:220al
[2026-05-15 12:58:21] [INFO]       OK   a051201_113303.rf.pcm: sb0:277al
[2026-05-15 12:58:21] [INFO]       OK   a051220_141033.rf.pcm: sb0:261al
[2026-05-15 12:58:21] [INFO]       OK   a051201_124143.rf.pcm: sb0:294al
[2026-05-15 12:58:21] [INFO]       OK   a060101_082911.rf.pcm: sb0:6al
[2026-05-15 12:58:21] [INFO]       OK   a051231_095041.rf.pcm: sb0:93al
[2026-05-15 12:58:21] [INFO]       OK   a051227_093431.rf.pcm: sb0:181al
[2026-05-15 12:58:21] [INFO]       OK   a051228_091642.rf.pcm: sb0:310al
[2026-05-15 12:58:21] [INFO]       OK   a051229_094001.rf.pcm: sb0:269al
[2026-05-15 12:58:21] [INFO]       OK   a051230_081943.rf.pcm: sb0:297al
[2026-05-15 12:58:21] [INFO]       OK   a060104_070103.rf.pcm: sb0:3al
[2026-05-15 12:58:21] [INFO]       OK   a060103_102813.rf.pcm: sb0:3al
[2026-05-15 12:58:21] [INFO]       OK   a051230_071310.rf.pcm: sb0:259al
